epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54497,1.23865,2.7254,1.38883,0.60861,0.89893,0.88814,0.61753,1.39257,1.26831,1.24768,0,0,0
2,7.66228,1.00922,3.05967,1.2289,0.61117,0.89032,0.888,0.6139,1.41399,1.28745,1.25723,1.17822e-06,1.17822e-06,1.17822e-06
3,9.61232,1.11647,2.98333,1.4194,0.6073,0.83333,0.87448,0.58416,1.47532,1.32378,1.26956,2.33288e-06,2.33288e-06,2.33288e-06
4,11.2284,1.06049,3.21779,1.31073,0.57349,0.83333,0.83328,0.57409,1.47984,1.34968,1.2705,3.46397e-06,3.46397e-06,3.46397e-06
5,13.1814,1.11826,3.03638,1.41678,0.57305,0.83333,0.83343,0.57194,1.50523,1.3852,1.28898,4.5715e-06,4.5715e-06,4.5715e-06
6,15.2549,1.29382,3.01221,1.43516,0.58517,0.66667,0.83339,0.57707,1.50037,1.44535,1.29558,5.65548e-06,5.65548e-06,5.65548e-06
7,17.3337,0.99967,2.27652,1.24196,0.82762,0.58333,0.88221,0.57556,1.50266,1.49291,1.30234,6.71588e-06,6.71588e-06,6.71588e-06
8,19.5419,1.02797,2.61586,1.32683,0.78245,0.58333,0.89631,0.55682,1.51588,1.5727,1.31184,7.75273e-06,7.75273e-06,7.75273e-06
9,21.7241,1.13731,2.60771,1.3358,0.76983,0.58333,0.81351,0.53404,1.53598,1.63286,1.32548,8.76602e-06,8.76602e-06,8.76602e-06
10,23.9608,1.10751,3.34469,1.45563,0.75557,0.58333,0.7642,0.52283,1.55616,1.67944,1.34247,9.75574e-06,9.75574e-06,9.75574e-06
11,26.188,1.12949,2.82173,1.3979,0.74604,0.58333,0.7484,0.5174,1.54223,1.67917,1.34413,1.07219e-05,1.07219e-05,1.07219e-05
12,28.3396,1.12069,2.84289,1.41135,0.72318,0.58333,0.74882,0.52662,1.55392,1.70651,1.35353,1.16645e-05,1.16645e-05,1.16645e-05
13,30.4117,1.13052,2.06005,1.3342,0.67688,0.58333,0.7489,0.52645,1.57011,1.73436,1.36475,1.25835e-05,1.25835e-05,1.25835e-05
14,32.424,0.77396,1.7629,1.15417,0.67328,0.58333,0.74862,0.52642,1.56755,1.75782,1.37033,1.3479e-05,1.3479e-05,1.3479e-05
15,34.5551,0.84458,2.04133,1.20394,0.94685,0.39431,0.74917,0.51827,1.56076,1.79123,1.37664,1.43509e-05,1.43509e-05,1.43509e-05
16,36.6295,0.84179,2.22412,1.15826,0.9483,0.39244,0.74888,0.53283,1.56236,1.8111,1.37878,1.51993e-05,1.51993e-05,1.51993e-05
17,38.7255,0.68872,1.82529,1.11798,0.94992,0.39011,0.74695,0.54087,1.57407,1.84931,1.38831,1.60241e-05,1.60241e-05,1.60241e-05
18,41.0882,0.78827,1.55679,1.1332,0.94992,0.39011,0.74695,0.54087,1.57407,1.84931,1.38831,1.68253e-05,1.68253e-05,1.68253e-05
19,43.2081,0.61614,1.55883,0.99502,0.95033,0.38938,0.635,0.47784,1.57761,1.91919,1.40149,1.7603e-05,1.7603e-05,1.7603e-05
20,45.2981,0.95362,2.70973,1.35669,0.95033,0.38938,0.635,0.47784,1.57761,1.91919,1.40149,1.83571e-05,1.83571e-05,1.83571e-05
21,47.2895,0.68475,1.50326,1.1828,0.95038,0.38906,0.63389,0.47232,1.57572,1.98951,1.39512,1.90876e-05,1.90876e-05,1.90876e-05
22,49.3574,0.83563,2.21641,1.20823,0.95038,0.38906,0.63389,0.47232,1.57572,1.98951,1.39512,1.97946e-05,1.97946e-05,1.97946e-05
23,51.3311,0.95182,1.84013,1.22004,0.94981,0.38773,0.61316,0.46607,1.60684,2.05845,1.41909,2.0478e-05,2.0478e-05,2.0478e-05
24,53.4513,0.62481,1.12755,0.99731,0.94981,0.38773,0.61316,0.46607,1.60684,2.05845,1.41909,2.11379e-05,2.11379e-05,2.11379e-05
25,55.465,0.8331,1.45985,1.16724,0.78371,0.38741,0.61344,0.46218,1.61895,2.14465,1.43582,2.17741e-05,2.17741e-05,2.17741e-05
26,57.5347,0.93619,2.14607,1.34765,0.78371,0.38741,0.61344,0.46218,1.61895,2.14465,1.43582,2.23869e-05,2.23869e-05,2.23869e-05
27,59.6198,0.9351,1.97124,1.26914,0.78395,0.38811,0.61125,0.44074,1.64538,2.21934,1.4568,2.2976e-05,2.2976e-05,2.2976e-05
28,61.6636,0.78441,2.07385,1.17093,0.78395,0.38811,0.61125,0.44074,1.64538,2.21934,1.4568,2.35417e-05,2.35417e-05,2.35417e-05
29,63.7726,0.84153,1.6319,1.23808,0.78437,0.38794,0.57838,0.42859,1.65709,2.28324,1.46395,2.40837e-05,2.40837e-05,2.40837e-05
30,65.8838,0.79684,1.57371,1.13794,0.78437,0.38794,0.57838,0.42859,1.65709,2.28324,1.46395,2.46022e-05,2.46022e-05,2.46022e-05
31,68.0654,0.90121,1.40227,1.16364,0.95087,0.38792,0.49555,0.3541,1.69197,2.35928,1.48258,2.50971e-05,2.50971e-05,2.50971e-05
32,70.1191,0.72022,0.9229,1.09015,0.95087,0.38792,0.49555,0.3541,1.69197,2.35928,1.48258,2.55685e-05,2.55685e-05,2.55685e-05
33,72.2039,0.66717,1.20913,1.06051,0.95182,0.38741,0.4533,0.31659,1.73046,2.37581,1.50616,2.60163e-05,2.60163e-05,2.60163e-05
34,74.2796,0.92577,1.47792,1.2135,0.95182,0.38741,0.4533,0.31659,1.73046,2.37581,1.50616,2.64405e-05,2.64405e-05,2.64405e-05
35,76.3126,0.50723,1.00305,1.06,0.94917,0.38715,0.45529,0.34579,1.73413,2.40133,1.51627,2.68412e-05,2.68412e-05,2.68412e-05
36,78.3855,0.51719,1.49816,1.06248,0.94917,0.38715,0.45529,0.34579,1.73413,2.40133,1.51627,2.72183e-05,2.72183e-05,2.72183e-05
37,80.3808,0.58934,0.76267,0.99084,0.9493,0.38707,0.41374,0.30515,1.75291,2.42998,1.52894,2.75718e-05,2.75718e-05,2.75718e-05
38,82.4809,0.64555,1.44529,1.08439,0.9493,0.38707,0.41374,0.30515,1.75291,2.42998,1.52894,2.79018e-05,2.79018e-05,2.79018e-05
39,84.6048,0.69945,0.99478,1.04765,0.78162,0.38697,0.41515,0.30723,1.74973,2.39863,1.51742,2.82082e-05,2.82082e-05,2.82082e-05
40,86.8423,0.89851,2.0173,1.22051,0.78162,0.38697,0.41515,0.30723,1.74973,2.39863,1.51742,2.84911e-05,2.84911e-05,2.84911e-05
41,88.9567,0.99961,1.60151,1.31237,0.77814,0.3868,0.41772,0.2912,1.75552,2.41174,1.53399,2.87504e-05,2.87504e-05,2.87504e-05
42,91.0281,0.54346,0.81601,1.01996,0.77814,0.3868,0.41772,0.2912,1.75552,2.41174,1.53399,2.89861e-05,2.89861e-05,2.89861e-05
43,93.1303,0.74239,1.47905,1.22053,0.77867,0.38699,0.41793,0.29139,1.75206,2.42009,1.53057,2.91983e-05,2.91983e-05,2.91983e-05
44,95.0913,0.71395,1.36277,1.06935,0.77867,0.38699,0.41793,0.29139,1.75206,2.42009,1.53057,2.93869e-05,2.93869e-05,2.93869e-05
45,97.2852,0.49105,0.78797,0.96065,0.77316,0.38707,0.41829,0.29156,1.77793,2.44036,1.54867,2.9552e-05,2.9552e-05,2.9552e-05
46,99.3061,0.5661,1.11269,1.06307,0.77316,0.38707,0.41829,0.29156,1.77793,2.44036,1.54867,2.96935e-05,2.96935e-05,2.96935e-05
47,101.379,0.60687,0.71038,1.0198,0.94053,0.38723,0.41861,0.32389,1.74686,2.43432,1.53015,2.98114e-05,2.98114e-05,2.98114e-05
48,103.577,0.78901,1.16308,1.15488,0.94053,0.38723,0.41861,0.32389,1.74686,2.43432,1.53015,2.99058e-05,2.99058e-05,2.99058e-05
49,105.74,0.43233,0.60318,0.93232,0.94222,0.38758,0.41898,0.29908,1.74861,2.43008,1.53021,2.99766e-05,2.99766e-05,2.99766e-05
50,107.898,0.64015,0.95044,1.05857,0.94222,0.38758,0.41898,0.29908,1.74861,2.43008,1.53021,3.00238e-05,3.00238e-05,3.00238e-05
51,109.935,0.84431,0.90411,1.11947,0.94312,0.38748,0.41885,0.30747,1.74362,2.407,1.52554,3.00475e-05,3.00475e-05,3.00475e-05
52,111.995,0.79459,1.02883,1.12275,0.94312,0.38748,0.41885,0.30747,1.74362,2.407,1.52554,3.00476e-05,3.00476e-05,3.00476e-05
53,114.093,0.76322,1.67468,1.17104,0.94312,0.38748,0.41885,0.30747,1.74362,2.407,1.52554,3.00242e-05,3.00242e-05,3.00242e-05
54,116.125,0.60634,1.00402,1.03716,0.93967,0.38857,0.41982,0.3074,1.75169,2.39199,1.52471,2.99772e-05,2.99772e-05,2.99772e-05
55,118.17,0.59846,0.93243,0.99672,0.93967,0.38857,0.41982,0.3074,1.75169,2.39199,1.52471,2.99066e-05,2.99066e-05,2.99066e-05
56,120.188,0.6915,1.41084,1.10672,0.93967,0.38857,0.41982,0.3074,1.75169,2.39199,1.52471,2.98125e-05,2.98125e-05,2.98125e-05
57,122.261,0.51953,0.91448,1.03791,0.94243,0.38933,0.42083,0.30801,1.71537,2.35417,1.48528,2.96948e-05,2.96948e-05,2.96948e-05
