epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1237,1.85136,2.98133,1.85942,1.45225,0.69173,0.55476,0.60265,0.29776,0.68026,0.52759,0.56793,0.26156,1.74786,2.71565,1.64071,1.39604,0.000662921,0.000662921,0.000662921
2,67.7819,1.69945,2.60645,1.41859,1.33439,0.75064,0.60397,0.69713,0.3544,0.74312,0.58681,0.67327,0.30769,1.68907,2.75983,1.52625,1.34098,0.00131078,0.00131078,0.00131078
3,100.593,1.68531,2.56195,1.34572,1.33434,0.76838,0.67146,0.74509,0.38653,0.74815,0.65149,0.71507,0.33414,1.62174,2.58201,1.3245,1.33415,0.00193979,0.00193979,0.00193979
4,133.129,1.67742,2.57267,1.31759,1.33847,0.79431,0.67131,0.76456,0.41018,0.78485,0.6647,0.75063,0.36582,1.60662,2.52141,1.18708,1.27376,0.00191514,0.00191514,0.00191514
5,165.029,1.63703,2.49561,1.25392,1.31087,0.78401,0.70115,0.78446,0.43486,0.7826,0.69328,0.7753,0.3938,1.56063,2.45994,1.16441,1.29869,0.00188686,0.00188686,0.00188686
6,197.293,1.63521,2.47455,1.21591,1.30768,0.75465,0.70509,0.78017,0.40787,0.74591,0.69531,0.76396,0.3652,1.60162,2.52955,1.20897,1.29126,0.00185857,0.00185857,0.00185857
7,228.763,1.62566,2.50732,1.1921,1.3193,0.81606,0.71888,0.81132,0.44401,0.81208,0.70595,0.79082,0.40722,1.55203,2.41531,1.09266,1.28799,0.00183029,0.00183029,0.00183029
8,261.006,1.61423,2.44608,1.18265,1.29675,0.80722,0.72061,0.80846,0.4525,0.80275,0.70948,0.7935,0.41152,1.53569,2.39655,1.06754,1.28471,0.001802,0.001802,0.001802
9,293.71,1.61259,2.44316,1.19227,1.30358,0.7908,0.72593,0.80771,0.44994,0.78678,0.7173,0.79542,0.40687,1.54288,2.41275,1.10646,1.262,0.00177371,0.00177371,0.00177371
10,324.874,1.60301,2.42081,1.13577,1.28923,0.79586,0.72765,0.80557,0.44559,0.79576,0.71141,0.79037,0.40196,1.57099,2.35256,1.04086,1.28495,0.00174543,0.00174543,0.00174543
